WTeam,LTeam,WLoc
Atlanta Hawks,San Antonio Spurs,V
Philadelphia 76ers,Golden State Warriors,V
Sacramento Kings,Portland Trail Blazers,H
Detroit Pistons,Los Angeles Clippers,V
Charlotte Hornets,Minnesota Timberwolves,H
New York Knicks,Phoenix Suns,H
Orlando Magic,Chicago Bulls,H
Toronto Raptors,Indiana Pacers,V
Atlanta Hawks,Memphis Grizzlies,V
Oklahoma City Thunder,Washington Wizards,H
San Antonio Spurs,Boston Celtics,H
Milwaukee Bucks,Denver Nuggets,V
New Orleans Pelicans,Utah Jazz,V
Golden State Warriors,Portland Trail Blazers,H
Sacramento Kings,Los Angeles Lakers,V
Minnesota Timberwolves,Philadelphia 76ers,V
New York Knicks,Atlanta Hawks,V
Phoenix Suns,Brooklyn Nets,V
Miami Heat,Chicago Bulls,V
Orlando Magic,Cleveland Cavaliers,V
Houston Rockets,Charlotte Hornets,H
Washington Wizards,Dallas Mavericks,V
Utah Jazz,New Orleans Pelicans,H
Los Angeles Clippers,Golden State Warriors,H
Milwaukee Bucks,Indiana Pacers,V
Memphis Grizzlies,Sacramento Kings,H
Toronto Raptors,Boston Celtics,H
Los Angeles Lakers,Detroit Pistons,H
Orlando Magic,Philadelphia 76ers,V
Denver Nuggets,Miami Heat,V
Chicago Bulls,Charlotte Hornets,H
Oklahoma City Thunder,Houston Rockets,V
Indiana Pacers,Minnesota Timberwolves,V
Dallas Mavericks,Cleveland Cavaliers,H
Washington Wizards,San Antonio Spurs,V
Utah Jazz,Portland Trail Blazers,H
New Orleans Pelicans,Los Angeles Clippers,V
Brooklyn Nets,New York Knicks,H
Memphis Grizzlies,Toronto Raptors,V
Golden State Warriors,Phoenix Suns,V
Detroit Pistons,Portland Trail Blazers,V
Sacramento Kings,Los Angeles Lakers,H
Atlanta Hawks,Indiana Pacers,V
Orlando Magic,Denver Nuggets,H
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,Philadelphia 76ers,H
Miami Heat,Cleveland Cavaliers,H
Milwaukee Bucks,Charlotte Hornets,H
Dallas Mavericks,New Orleans Pelicans,V
Houston Rockets,Oklahoma City Thunder,V
Sacramento Kings,Los Angeles Clippers,V
Chicago Bulls,New York Knicks,V
Toronto Raptors,Milwaukee Bucks,H
Oklahoma City Thunder,Memphis Grizzlies,V
Phoenix Suns,Detroit Pistons,H
Portland Trail Blazers,San Antonio Spurs,H
Miami Heat,Indiana Pacers,V
Cleveland Cavaliers,Washington Wizards,V
Philadelphia 76ers,Atlanta Hawks,V
Brooklyn Nets,Minnesota Timberwolves,H
Houston Rockets,Orlando Magic,H
Dallas Mavericks,New Orleans Pelicans,H
Utah Jazz,Boston Celtics,H
Phoenix Suns,Golden State Warriors,V
Los Angeles Clippers,Los Angeles Lakers,V
New York Knicks,Denver Nuggets,H
Chicago Bulls,Brooklyn Nets,V
Milwaukee Bucks,Miami Heat,H
Memphis Grizzlies,Dallas Mavericks,V
San Antonio Spurs,Golden State Warriors,V
Boston Celtics,Portland Trail Blazers,V
Los Angeles Clippers,Sacramento Kings,V
Utah Jazz,Cleveland Cavaliers,V
Charlotte Hornets,Atlanta Hawks,V
Washington Wizards,Toronto Raptors,V
Houston Rockets,New Orleans Pelicans,H
Philadelphia 76ers,Charlotte Hornets,V
Oklahoma City Thunder,Detroit Pistons,V
Indiana Pacers,Washington Wizards,H
Miami Heat,Memphis Grizzlies,H
Denver Nuggets,Chicago Bulls,V
Milwaukee Bucks,Cleveland Cavaliers,H
Atlanta Hawks,Minnesota Timberwolves,V
Phoenix Suns,San Antonio Spurs,H
Orlando Magic,Golden State Warriors,V
Portland Trail Blazers,Los Angeles Clippers,H
Dallas Mavericks,Brooklyn Nets,H
New York Knicks,San Antonio Spurs,V
Los Angeles Lakers,Boston Celtics,H
Philadelphia 76ers,Charlotte Hornets,V
Chicago Bulls,Cleveland Cavaliers,V
Washington Wizards,Detroit Pistons,V
Indiana Pacers,New York Knicks,H
Miami Heat,Milwaukee Bucks,H
Oklahoma City Thunder,Toronto Raptors,V
Houston Rockets,Brooklyn Nets,H
Memphis Grizzlies,Dallas Mavericks,H
Utah Jazz,Minnesota Timberwolves,V
Denver Nuggets,New Orleans Pelicans,V
Portland Trail Blazers,Golden State Warriors,V
Sacramento Kings,Orlando Magic,H
Los Angeles Clippers,Boston Celtics,H
Philadelphia 76ers,Utah Jazz,H
Los Angeles Lakers,Memphis Grizzlies,V
San Antonio Spurs,Denver Nuggets,H
Charlotte Hornets,Sacramento Kings,H
Dallas Mavericks,Indiana Pacers,V
Brooklyn Nets,Atlanta Hawks,V
Toronto Raptors,New York Knicks,H
Milwaukee Bucks,Houston Rockets,V
Cleveland Cavaliers,Minnesota Timberwolves,V
Detroit Pistons,New Orleans Pelicans,V
Oklahoma City Thunder,Los Angeles Lakers,H
Boston Celtics,Phoenix Suns,V
Los Angeles Clippers,Orlando Magic,H
Washington Wizards,Utah Jazz,H
Cleveland Cavaliers,Sacramento Kings,H
Memphis Grizzlies,Houston Rockets,H
Chicago Bulls,Miami Heat,V
Golden State Warriors,Philadelphia 76ers,V
Denver Nuggets,San Antonio Spurs,V
New York Knicks,Milwaukee Bucks,H
Brooklyn Nets,Detroit Pistons,V
Oklahoma City Thunder,Dallas Mavericks,H
New Orleans Pelicans,San Antonio Spurs,V
Minnesota Timberwolves,Portland Trail Blazers,V
Orlando Magic,Los Angeles Lakers,V
Miami Heat,Cleveland Cavaliers,V
Golden State Warriors,Indiana Pacers,V
Toronto Raptors,Sacramento Kings,H
Houston Rockets,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Philadelphia 76ers,Memphis Grizzlies,V
Charlotte Hornets,Dallas Mavericks,V
Denver Nuggets,Washington Wizards,H
Phoenix Suns,Los Angeles Clippers,V
Brooklyn Nets,Toronto Raptors,H
New York Knicks,Golden State Warriors,H
Phoenix Suns,Portland Trail Blazers,V
Houston Rockets,Cleveland Cavaliers,V
Orlando Magic,Atlanta Hawks,H
Philadelphia 76ers,Miami Heat,H
Los Angeles Lakers,Dallas Mavericks,V
Indiana Pacers,Milwaukee Bucks,V
New Orleans Pelicans,Oklahoma City Thunder,V
Charlotte Hornets,San Antonio Spurs,V
Minnesota Timberwolves,Denver Nuggets,V
Memphis Grizzlies,Portland Trail Blazers,V
Sacramento Kings,Washington Wizards,H
Utah Jazz,Los Angeles Clippers,H
Indiana Pacers,Detroit Pistons,H
Brooklyn Nets,Philadelphia 76ers,H
New York Knicks,Houston Rockets,V
Washington Wizards,Phoenix Suns,V
Miami Heat,Orlando Magic,V
Denver Nuggets,Atlanta Hawks,V
Golden State Warriors,Boston Celtics,V
New Orleans Pelicans,Milwaukee Bucks,H
San Antonio Spurs,Utah Jazz,V
Los Angeles Lakers,Minnesota Timberwolves,V
Portland Trail Blazers,Charlotte Hornets,H
Memphis Grizzlies,Sacramento Kings,V
Houston Rockets,Detroit Pistons,V
Boston Celtics,New York Knicks,H
Brooklyn Nets,Orlando Magic,H
Toronto Raptors,Golden State Warriors,H
Oklahoma City Thunder,Los Angeles Clippers,H
Milwaukee Bucks,Cleveland Cavaliers,H
Washington Wizards,Utah Jazz,V
Miami Heat,Detroit Pistons,V
Portland Trail Blazers,Memphis Grizzlies,V
Sacramento Kings,San Antonio Spurs,H
Chicago Bulls,Los Angeles Lakers,H
Minnesota Timberwolves,Dallas Mavericks,H
Phoenix Suns,Charlotte Hornets,H
Philadelphia 76ers,Boston Celtics,V
Chicago Bulls,Houston Rockets,H
Memphis Grizzlies,Oklahoma City Thunder,H
Utah Jazz,Charlotte Hornets,H
Sacramento Kings,Golden State Warriors,V
Los Angeles Clippers,San Antonio Spurs,H
Indiana Pacers,Miami Heat,V
Detroit Pistons,New York Knicks,V
Portland Trail Blazers,New Orleans Pelicans,V
Dallas Mavericks,Minnesota Timberwolves,H
