Vteam,Hteam
Utah Jazz,Phoenix Suns
Portland Trail Blazers,Brooklyn Nets
Golden State Warriors,Minnesota Timberwolves
Indiana Pacers,Los Angeles Clippers
Miami Heat,Atlanta Hawks
Washington Wizards,Boston Celtics
Cleveland Cavaliers,Detroit Pistons
Memphis Grizzlies,New York Knicks
Philadelphia 76ers,Orlando Magic
Dallas Mavericks,Milwaukee Bucks
Atlanta Hawks,Philadelphia 76ers
Minnesota Timberwolves,Washington Wizards
Charlotte Hornets,Boston Celtics
Orlando Magic,Brooklyn Nets
Cleveland Cavaliers,Toronto Raptors
Oklahoma City Thunder,New Orleans Pelicans
Houston Rockets,Denver Nuggets
Chicago Bulls,Utah Jazz
Phoenix Suns,Sacramento Kings
Indiana Pacers,Los Angeles Lakers
New York Knicks,Detroit Pistons
Golden State Warriors,Dallas Mavericks
Los Angeles Clippers,Portland Trail Blazers
Philadelphia 76ers,Cleveland Cavaliers
Atlanta Hawks,Orlando Magic
Miami Heat,Boston Celtics
Washington Wizards,Brooklyn Nets
Milwaukee Bucks,New York Knicks
Memphis Grizzlies,Minnesota Timberwolves
Toronto Raptors,New Orleans Pelicans
San Antonio Spurs,Oklahoma City Thunder
Houston Rockets,Denver Nuggets
Chicago Bulls,Phoenix Suns
Los Angeles Clippers,Utah Jazz
Indiana Pacers,Sacramento Kings
Portland Trail Blazers,Los Angeles Lakers
Dallas Mavericks,Detroit Pistons
Washington Wizards,Charlotte Hornets
Denver Nuggets,Atlanta Hawks
Miami Heat,Boston Celtics
Toronto Raptors,Brooklyn Nets
Orlando Magic,Cleveland Cavaliers
Los Angeles Lakers,Milwaukee Bucks
Philadelphia 76ers,Memphis Grizzlies
New Orleans Pelicans,San Antonio Spurs
Houston Rockets,Phoenix Suns
Indiana Pacers,Utah Jazz
Chicago Bulls,Golden State Warriors
Dallas Mavericks,New York Knicks
Sacramento Kings,Los Angeles Clippers
Milwaukee Bucks,Charlotte Hornets
Oklahoma City Thunder,Minnesota Timberwolves
Orlando Magic,Toronto Raptors
Houston Rockets,Golden State Warriors
Portland Trail Blazers,Utah Jazz
Denver Nuggets,New Orleans Pelicans
Phoenix Suns,San Antonio Spurs
Boston Celtics,Brooklyn Nets
Memphis Grizzlies,Detroit Pistons
Cleveland Cavaliers,New York Knicks
Chicago Bulls,Sacramento Kings
Los Angeles Lakers,Washington Wizards
Indiana Pacers,Portland Trail Blazers
Los Angeles Clippers,Charlotte Hornets
Milwaukee Bucks,Orlando Magic
Oklahoma City Thunder,Atlanta Hawks
Boston Celtics,Toronto Raptors
Philadelphia 76ers,Houston Rockets
Miami Heat,Memphis Grizzlies
Phoenix Suns,Dallas Mavericks
Indiana Pacers,Golden State Warriors
Los Angeles Lakers,Cleveland Cavaliers
Detroit Pistons,Miami Heat
Dallas Mavericks,Denver Nuggets
